title,area,rating,n_reviews,reference
Чемодан Хостел,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al274950/reviews
Серебряный Утёс,"Россия, Краснодарский край, Сочи",3.5,1,https://tophotels.ru/hotel/al288781/reviews
НИЦ Курортологии и реабилитации,"Россия, Краснодарский край, Сочи",3.44,3,https://tophotels.ru/hotel/al10588/reviews
Сад,"Россия, Краснодарский край, Сочи",3.33,2,https://tophotels.ru/hotel/al198700/reviews
Ставрополье,"Россия, Краснодарский край, Сочи",3.28,12,https://tophotels.ru/hotel/al10602/reviews
Вилла Сказка,"Россия, Краснодарский край, Сочи, Прогресс село",3.0,1,https://tophotels.ru/hotel/al305110/reviews
Солнечный,"Россия, Краснодарский край, Сочи",3.0,2,https://tophotels.ru/hotel/al10601/reviews
Фазотрон - С,"Россия, Краснодарский край, Сочи",3.0,2,https://tophotels.ru/hotel/al10604/reviews
Гостевой Дом Верещагинский (Vereschaginskiy Guest House),"Россия, Краснодарский край, Сочи, Хоста",2.5,1,https://tophotels.ru/hotel/al314756/reviews
Кайлас Центр Тибетской Медицины,"Россия, Краснодарский край, Сочи",2.5,2,https://tophotels.ru/hotel/al309055/reviews
Кудепста База Отдыха (СКК Сочинский),"Россия, Краснодарский край, Сочи, Кудепста",2.33,2,https://tophotels.ru/hotel/al308318/reviews
Бамбук,"Россия, Краснодарский край, Сочи",1.5,3,https://tophotels.ru/hotel/al67260/reviews
Ривьера 2*,"Россия, Краснодарский край, Сочи",1.5,1,https://tophotels.ru/hotel/al274928/reviews
Center Plaza Apart Hotel,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al320251/reviews
Теремки,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al62207/reviews
Тихий,"Россия, Краснодарский край, Сочи, Хоста",0.0,1,https://tophotels.ru/hotel/al85842/reviews
Флора,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al39527/reviews
Эль-отель 2*,"Россия, Краснодарский край, Сочи",0.0,1,https://tophotels.ru/hotel/al69549/reviews
